,0,1,2,3
121,3.0,41.0,0.02101830020546913,-1.2000000476837158
122,3.0,23.0,0.012036134488880634,-1.1100000143051147
123,3.0,9.0,0.0028675098437815905,-1.0399999618530273
124,3.0,21.0,0.009464348666369915,-1.100000023841858
125,3.0,19.0,0.00532337324693799,-1.090000033378601
126,3.0,10.0,0.005176544655114412,-1.0449999570846558
127,4.0,19.0,0.007315138820558786,2.9149999618530273
128,3.0,9.0,0.013178031891584396,-1.0399999618530273
129,3.0,18.0,0.016876094043254852,-1.0850000381469727
130,3.0,16.0,0.0056700981222093105,-1.0750000476837158
131,3.0,4.0,0.006728039588779211,-1.0149999856948853
132,3.0,6.0,0.006522505544126034,-1.024999976158142
133,3.0,17.0,0.0055555058643221855,-1.0800000429153442
134,3.0,8.0,0.006873102858662605,-1.034999966621399
135,3.0,16.0,0.00986902229487896,-1.0750000476837158
136,3.0,4.0,0.0018255781615152955,-1.0149999856948853
137,3.0,9.0,0.0031339763663709164,-1.0399999618530273
138,3.0,7.0,0.002649908186867833,-1.0299999713897705
139,3.0,5.0,0.001545415259897709,-1.0199999809265137
140,3.0,15.0,0.008455692790448666,-1.0700000524520874
141,3.0,21.0,0.007243622560054064,-1.100000023841858
142,3.0,7.0,0.0019095016177743673,-1.0299999713897705
143,3.0,15.0,0.004883565939962864,-1.0700000524520874
144,3.0,6.0,0.0018854228546842933,-1.024999976158142
145,3.0,7.0,0.003922002390027046,-1.0299999713897705
146,3.0,5.0,0.0025538604240864515,-1.0199999809265137
147,4.0,29.0,0.010912285186350346,2.865000009536743
148,3.0,5.0,0.0027501850854605436,-1.0199999809265137
149,3.0,8.0,0.001962448703125119,-1.034999966621399
150,3.0,28.0,0.024746675044298172,-1.1349999904632568
151,3.0,10.0,0.0013797138817608356,-1.0449999570846558
152,3.0,4.0,0.0005855059716850519,-1.0149999856948853
153,3.0,4.0,0.0011059112148359418,-1.0149999856948853
154,3.0,8.0,0.004290965385735035,-1.034999966621399
155,3.0,7.0,0.0032721352763473988,-1.0299999713897705
156,3.0,18.0,0.012868617661297321,-1.0850000381469727
157,3.0,10.0,0.003993246238678694,-1.0449999570846558
158,3.0,8.0,0.0072182477451860905,-1.034999966621399
159,4.0,3.0,0.0009789227042347193,2.994999885559082
160,3.0,9.0,0.003649744438007474,-1.0399999618530273
161,3.0,7.0,0.01195207703858614,-1.0299999713897705
162,3.0,14.0,0.004476089030504227,-1.065000057220459
163,3.0,10.0,0.007714404724538326,-1.0449999570846558
164,3.0,33.0,0.020966891199350357,-1.159999966621399
165,3.0,18.0,0.018906276673078537,-1.0850000381469727
166,4.0,18.0,0.02308068424463272,2.9200000762939453
167,3.0,8.0,0.011093745008111,-1.034999966621399
168,3.0,11.0,0.004201030824333429,-1.0499999523162842
169,3.0,7.0,0.007381852250546217,-1.0299999713897705
170,4.0,29.0,0.03084052912890911,2.865000009536743
171,5.0,32.0,0.03985845297574997,7.855000019073486
172,3.0,17.0,0.030431153252720833,-1.0800000429153442
173,3.0,25.0,0.05917487293481827,-1.1200000047683716
174,3.0,12.0,0.012376782484352589,-1.0549999475479126
175,3.0,24.0,0.04511911794543266,-1.1150000095367432
176,3.0,11.0,0.014568114653229713,-1.0499999523162842
177,3.0,11.0,0.022360997274518013,-1.0499999523162842
178,3.0,5.0,0.006508606020361185,-1.0199999809265137
179,3.0,12.0,0.01761677861213684,-1.0549999475479126
180,3.0,5.0,0.006700099911540747,-1.0199999809265137
181,3.0,7.0,0.006014192942529917,-1.0299999713897705
182,3.0,6.0,0.005372533109039068,-1.024999976158142
183,3.0,5.0,0.011695888824760914,-1.0199999809265137
184,3.0,6.0,0.005886981263756752,-1.024999976158142
185,3.0,8.0,0.009026836603879929,-1.034999966621399
186,3.0,3.0,0.002698958618566394,-1.0099999904632568
187,4.0,21.0,0.020964177325367928,2.9049999713897705
188,3.0,8.0,0.018424799665808678,-1.034999966621399
189,4.0,5.0,0.011848674155771732,2.984999895095825
190,4.0,8.0,0.013357492163777351,2.9700000286102295
191,3.0,22.0,0.050668489187955856,-1.1050000190734863
192,3.0,6.0,0.004588403273373842,-1.024999976158142
193,3.0,4.0,0.00801040604710579,-1.0149999856948853
194,3.0,43.0,0.04817714914679527,-1.2100000381469727
195,3.0,3.0,0.0008806235855445266,-1.0099999904632568
196,4.0,16.0,0.012012789025902748,2.930000066757202
197,3.0,28.0,0.02830774337053299,-1.1349999904632568
198,3.0,6.0,0.006947893183678389,-1.024999976158142
199,3.0,3.0,0.0022877303417772055,-1.0099999904632568
200,3.0,9.0,0.004155977629125118,-1.0399999618530273
201,3.0,4.0,0.0023461838718503714,-1.0149999856948853
202,3.0,13.0,0.007668396923691034,-1.059999942779541
203,3.0,4.0,0.0012711123563349247,-1.0149999856948853
204,3.0,6.0,0.002322164364159107,-1.024999976158142
205,3.0,11.0,0.012922365218400955,-1.0499999523162842
206,3.0,4.0,0.0014813096495345235,-1.0149999856948853
207,3.0,11.0,0.005583715159446001,-1.0499999523162842
208,3.0,7.0,0.0014260915340855718,-1.0299999713897705
209,3.0,9.0,0.0044679902493953705,-1.0399999618530273
210,3.0,5.0,0.004826101008802652,-1.0199999809265137
211,3.0,14.0,0.006157930940389633,-1.065000057220459
212,3.0,5.0,0.004735460039228201,-1.0199999809265137
213,3.0,8.0,0.0035727950744330883,-1.034999966621399
214,3.0,23.0,0.011513851583003998,-1.1100000143051147
215,3.0,4.0,0.002926777582615614,-1.0149999856948853
216,3.0,10.0,0.008737658150494099,-1.0449999570846558
217,3.0,6.0,0.0019337054109200835,-1.024999976158142
218,3.0,9.0,0.005569185595959425,-1.0399999618530273
219,3.0,14.0,0.005074809305369854,-1.065000057220459
220,3.0,3.0,0.0011746472446247935,-1.0099999904632568
221,3.0,7.0,0.002931060502305627,-1.0299999713897705
222,3.0,24.0,0.009751767851412296,-1.1150000095367432
223,3.0,9.0,0.003458320861682296,-1.0399999618530273
224,3.0,8.0,0.005598093383014202,-1.034999966621399
225,3.0,17.0,0.006811849307268858,-1.0800000429153442
226,3.0,25.0,0.011634232476353645,-1.1200000047683716
227,3.0,9.0,0.003821278689429164,-1.0399999618530273
228,3.0,4.0,0.0010383600601926446,-1.0149999856948853
229,3.0,7.0,0.003955320455133915,-1.0299999713897705
230,3.0,25.0,0.010828300379216671,-1.1200000047683716
231,3.0,29.0,0.009740385226905346,-1.1399999856948853
232,3.0,20.0,0.010919693857431412,-1.0950000286102295
233,3.0,7.0,0.0026303476188331842,-1.0299999713897705
234,3.0,6.0,0.001954504754394293,-1.024999976158142
235,3.0,10.0,0.003035076195374131,-1.0449999570846558
236,3.0,4.0,0.001971188932657242,-1.0149999856948853
237,3.0,10.0,0.006898003630340099,-1.0449999570846558
238,3.0,15.0,0.0072080036625266075,-1.0700000524520874
239,3.0,10.0,0.002469971776008606,-1.0449999570846558
240,3.0,4.0,0.0017768654506653547,-1.0149999856948853
241,3.0,3.0,0.0006422935985028744,-1.0099999904632568
242,3.0,5.0,0.001354818930849433,-1.0199999809265137
243,3.0,31.0,0.011755479499697685,-1.149999976158142
244,3.0,4.0,0.0023621260188519955,-1.0149999856948853
245,3.0,4.0,0.0011920301476493478,-1.0149999856948853
246,3.0,5.0,0.0016489545814692974,-1.0199999809265137
247,3.0,5.0,0.0010110504226759076,-1.0199999809265137
248,3.0,14.0,0.009989649057388306,-1.065000057220459
249,3.0,51.0,0.018541831523180008,-1.25
250,3.0,28.0,0.008368942886590958,-1.1349999904632568
251,3.0,14.0,0.004927542991936207,-1.065000057220459
252,3.0,8.0,0.001604629447683692,-1.034999966621399
253,3.0,10.0,0.003327231388539076,-1.0449999570846558
254,3.0,24.0,0.007966776378452778,-1.1150000095367432
255,3.0,10.0,0.005453850142657757,-1.0449999570846558
256,3.0,4.0,0.0006885676411911845,-1.0149999856948853
257,3.0,6.0,0.0024906115140765905,-1.024999976158142
258,3.0,7.0,0.0019143292447552085,-1.0299999713897705
259,3.0,12.0,0.00586532661691308,-1.0549999475479126
260,3.0,23.0,0.011620692908763885,-1.1100000143051147
261,3.0,4.0,0.0020283563062548637,-1.0149999856948853
262,3.0,20.0,0.006785828620195389,-1.0950000286102295
263,3.0,7.0,0.0022265808656811714,-1.0299999713897705
264,3.0,10.0,0.004594906698912382,-1.0449999570846558
